"","fluregion","year","week","date","cases","h1","h3","h5","h1n1","a_total","b_total","processed_samples","inf_a_prop","inf_b_prop","pop","cases_by_100k","theta","sin_f1","cos_f1","week_2","week_3","week_4","week_5","year1","week1","date1","cases1","h11","h31","h51","h1n11","a_total1","b_total1","processed_samples1","inf_a_prop1","inf_b_prop1","pop1","cases_by_100k1","theta1","sin_f11","cos_f11","week_21","week_31","week_41","week_51","y0","y0_ul"
"2040","Temperate South America","2012",10,2012-03-11,3,0,1,0,1,2,1,1028,0.00194552529182879,0.000972762645914397,24445466949.4286,1.22722139290946e-05,0.384615384615385,0.375202648042604,0.92694280994127,100,1000,10000,1e+05,"2012",10,2012-03-11,3,0,1,0,1,2,1,1028,0.00194552529182879,0.000972762645914397,24445466949.4286,1.22722139290946e-05,0.384615384615385,0.375202648042604,0.92694280994127,100,1000,10000,1e+05,-0.000171945395411655,0.00199574401179177
"2041","Temperate South America","2012",11,2012-03-18,9,0,3,0,0,5,4,1141,0.00438212094653812,0.0035056967572305,24445466949.4286,3.68166417872839e-05,0.423076923076923,0.410568022832686,0.911829972433052,121,1331,14641,161051,"2012",11,2012-03-18,9,0,3,0,0,5,4,1141,0.00438212094653812,0.0035056967572305,24445466949.4286,3.68166417872839e-05,0.423076923076923,0.410568022832686,0.911829972433052,121,1331,14641,161051,-0.000210712641649735,0.00195734210868268
"2042","Temperate South America","2012",12,2012-03-25,7,0,3,0,1,4,3,1372,0.00291545189504373,0.0021865889212828,24445466949.4286,2.86351658345542e-05,0.461538461538462,0.44532612334333,0.895368440290365,144,1728,20736,248832,"2012",12,2012-03-25,7,0,3,0,1,4,3,1372,0.00291545189504373,0.0021865889212828,24445466949.4286,2.86351658345542e-05,0.461538461538462,0.44532612334333,0.895368440290365,144,1728,20736,248832,-0.000219359510609252,0.00194854545152879
"2043","Temperate South America","2012",13,2012-04-01,7,0,2,0,1,4,3,1364,0.00293255131964809,0.00219941348973607,24445466949.4286,2.86351658345542e-05,0.5,0.479425538604203,0.877582561890373,169,2197,28561,371293,"2012",13,2012-04-01,7,0,2,0,1,4,3,1364,0.00293255131964809,0.00219941348973607,24445466949.4286,2.86351658345542e-05,0.5,0.479425538604203,0.877582561890373,169,2197,28561,371293,-0.000195281882280796,0.00197184017376616
"2044","Temperate South America","2012",14,2012-04-08,15,0,11,0,0,11,4,937,0.0117395944503735,0.00426894343649947,24445466949.4286,6.13610696454732e-05,0.538461538461538,0.512815831911323,0.858498644460839,196,2744,38416,537824,"2012",14,2012-04-08,15,0,11,0,0,11,4,937,0.0117395944503735,0.00426894343649947,24445466949.4286,6.13610696454732e-05,0.538461538461538,0.512815831911323,0.858498644460839,196,2744,38416,537824,-0.000137882465937267,0.00202805741899475
"2045","Temperate South America","2012",15,2012-04-15,10,0,7,0,0,8,2,1498,0.00534045393858478,0.00133511348464619,24445466949.4286,4.09073797636488e-05,0.576923076923077,0.545447615428374,0.838144915168911,225,3375,50625,759375,"2012",15,2012-04-15,10,0,7,0,0,8,2,1498,0.00534045393858478,0.00133511348464619,24445466949.4286,4.09073797636488e-05,0.576923076923077,0.545447615428374,0.838144915168911,225,3375,50625,759375,-4.83458985591767e-05,0.0021163985806848
"2046","Temperate South America","2012",16,2012-04-22,14,0,12,0,1,14,0,1379,0.0101522842639594,0,24445466949.4286,5.72703316691083e-05,0.615384615384615,0.577272623236629,0.816551479370102,256,4096,65536,1048576,"2012",16,2012-04-22,14,0,12,0,1,14,0,1379,0.0101522842639594,0,24445466949.4286,5.72703316691083e-05,0.615384615384615,0.577272623236629,0.816551479370102,256,4096,65536,1048576,7.05988988851658e-05,0.00223447807946735
"2047","Temperate South America","2012",17,2012-04-29,11,0,9,0,0,10,1,1505,0.00664451827242525,0.000664451827242525,24445466949.4286,4.49981177400137e-05,0.653846153846154,0.608243782725435,0.79375027607923,289,4913,83521,1419857,"2012",17,2012-04-29,11,0,9,0,0,10,1,1505,0.00664451827242525,0.000664451827242525,24445466949.4286,4.49981177400137e-05,0.653846153846154,0.608243782725435,0.79375027607923,289,4913,83521,1419857,0.000214925839864932,0.00237844463028954
"2048","Temperate South America","2012",18,2012-05-06,28,0,19,0,6,25,3,1465,0.0170648464163823,0.00204778156996587,24445466949.4286,0.000114540663338217,0.692307692307692,0.638315284217674,0.76977503072918,324,5832,104976,1889568,"2012",18,2012-05-06,28,0,19,0,6,25,3,1465,0.0170648464163823,0.00204778156996587,24445466949.4286,0.000114540663338217,0.692307692307692,0.638315284217674,0.76977503072918,324,5832,104976,1889568,0.000379564984159586,0.00254319953118069
"2049","Temperate South America","2012",19,2012-05-13,32,0,19,0,7,26,6,2051,0.0126767430521697,0.00292540224280839,24445466949.4286,0.000130903615243676,0.730769230769231,0.667442648727196,0.744661205287361,361,6859,130321,2476099,"2012",19,2012-05-13,32,0,19,0,7,26,6,2051,0.0126767430521697,0.00292540224280839,24445466949.4286,0.000130903615243676,0.730769230769231,0.667442648727196,0.744661205287361,361,6859,130321,2476099,0.000558658752533248,0.002722696623865
